FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
Hellen,AUGAR,F,1708-09-13,Joseph,AUGAR,paper merchant,Emily,MATTHEWS,servant
James,PHILPOTS,M,1713-01-29,John,PHILPOTS,collier,Mary,MARTIN,joiner
Margaret,HUGHES,F,1711-11-11,David,HUGHES,weaver,Christina,KNIGHT,merchants clerk
Sarah,STICKLAND,F,1713-11-03,David,STICKLAND,gamekeeper,Mary,CURTIS,lace manufacturer
Ann,OWENS,F,1711-03-31,Donald,OWENS,quarryman,Elizabeth,ROBINSON,farm servant
Williamina,STEPHENS,F,1731-01-09,George,STEPHENS,joiner,Maggie,STANSWOOD,sewing machinist
George,PAGE,M,1716-10-15,William,PAGE,wheelwright,Margaret,HUGHES,coal miner
Donald,HALL,M,1716-12-02,Thomas,HALL,plumber,Elizabeth,CROSS,printer
Erskine,HILL,M,1716-01-03,James,HILL,waterman,Jane,BEDFORD,typist
Elizabeth,HILL,F,1716-01-03,James,HILL,waterman,Jane,BEDFORD,typist
Jane,AUGAR,F,1719-03-16,Joseph,AUGAR,paper merchant,Emily,MATTHEWS,servant
John,BETTS,M,1719-12-28,Peter,BETTS,farm worker,Devina,SCALE,plater
Thomas,HUCK,M,1714-09-12,Peter,HUCK,cook,Mary,WYNNE,baker
Archibald,MCDONALD,M,1715-10-30,Robert,MCDONALD,chemical worker,Mary,PRIDMORE,farmer
Mary,RICHARDSON,F,1720-12-03,Walter,RICHARDSON,hosiery worker,Jeanie,ROBERTSON,merchant
David,SMITH,M,1719-11-15,John,SMITH,basket maker,Isabella,PARKER,railway clerk
Duncan,GARDNER,M,1720-07-30,John,GARDNER,fisherman,Isabella,ANDERSON,labourer
Thomas,WATSON,M,1720-05-23,Francis,WATSON,labourer,Isabella,NEALE,carpenter
Margaret,BAKER,F,1713-07-03,John,BAKER,painter,Mary,STEWART,waterman
Jane,WILLMOT,F,1719-12-31,Archibald,WILLMOT,blacksmith,Sarah,GODSALL,senior english master
James,BOLTON,M,1718-10-31,William,BOLTON,coal miner,Margt,LADD,landowner
Matthew,OWENS,M,1714-01-14,Donald,OWENS,quarryman,Elizabeth,ROBINSON,farm servant
George,GOOCH,M,1716-05-11,George,GOOCH,tailor,Ann,HAMBLETON,electro plater
Mary,DISS,F,1721-03-25,Gregor,DISS,plater,Florence,EIDE,joiner
Jessie,HUGHES,F,1717-11-28,David,HUGHES,weaver,Christina,KNIGHT,merchants clerk
Dora,GODWIN,F,1728-01-10,Neil,GODWIN,quarryman,Magdelen,PREECE,weaver
Isabella,BERY,F,1722-12-04,Archd,BERY,shopkeeper,Annie,PARR,tailor and draper
George,WILLIAMS,M,1719-03-16,Patrick,WILLIAMS,farm waggoner,Elizabeth,GOMALL,ag lab
Grace,CAMERON,F,1719-12-25,John,CAMERON,gardener,Christenia,WIGGLESWORTH,gamekeeper
John,COTHERALL,M,1726-07-26,Willia,COTHERALL,printer,Barbara,WARD,moulder (iron)
John,WARHURST,M,1719-03-26,James,WARHURST,waterman,Jessie,STEPHENS,woolcomber
Sarah,THORNE,F,1718-08-21,Willm,THORNE,mantua and dressmaker,Janet,DAKINS,engineer - tool maker
Maggie,COLLETT,F,1718-11-30,John,COLLETT,coach builder,Mary,PARKES,farm lab
W,PHILPOTS,M,1725-04-01,John,PHILPOTS,collier,Mary,MARTIN,joiner
Robert,SINCLAIR,M,1723-06-24,Wm,SINCLAIR,farmer,Jane,SINGLETON,carpenter
John,BROOMHEAD,M,1720-07-28,Robert,BROOMHEAD,stonemason,Ellen,YOUNG,carman
Johanna,LATTON,F,1723-09-10,William,LATTON,school teacher,Sarah,HARPER,shoemaker
Marion,SINNOCK,F,1722-06-06,James,SINNOCK,bargeman,Mary,JONES,clerk
James,BAKER,M,1719-10-29,John,BAKER,painter,Mary,STEWART,waterman
Thomas,ASPINALL,M,1718-02-12,William,ASPINALL,fisherman,Agnes,PRODGAR,gentlemans servant
George,FRANKLAND,M,1730-02-27,Alexander,FRANKLAND,butcher,Isabella,BRAWN,labourer
Janet,STICKLAND,F,1726-05-07,David,STICKLAND,gamekeeper,Mary,CURTIS,lace manufacturer
Alexander,TODD,F,1722-11-25,John,TODD,farmer,Maryann,LEE,labourer
George,MILLBURN,M,1725-05-15,Richard,MILLBURN,farmer,Jane,NOBLE,"able seaman, royal navy"
Simon,GUNTER,M,1725-11-08,Henry,GUNTER,policeman,Rachel,LEVERTON,electro plater
Catherine,BAKER,F,1722-07-20,David,BAKER,brakesman (railway),Isabella,CRABB,police
John,COWE,M,1727-03-04,Andrew,COWE,farmer,Alexa,RIERDAM,dressmaker
Archibald,ABEL,M,1734-02-01,Mouter,ABEL,blacksmith,Ann,CAMPBELL,worksmith
Hellen,HUCK,F,1718-02-08,Peter,HUCK,cook,Mary,WYNNE,baker
