rec-id,FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
rec-0-org,Hellen,AUGAR,F,1708-09-13,Joseph,AUGAR,paper merchant,Emily,MATTHEWS,servant
rec-1-org,James,PHILPOTS,M,1713-01-29,John,PHILPOTS,collier,Mary,MARTIN,joiner
rec-2-org,Margaret,HUGHES,F,1711-11-11,David,HUGHES,weaver,Christina,KNIGHT,merchants clerk
rec-3-org,Sarah,STICKLAND,F,1713-11-03,David,STICKLAND,gamekeeper,Mary,CURTIS,lace manufacturer
rec-4-org,Ann,OWENS,F,1711-03-31,Donald,OWENS,quarryman,Elizabeth,ROBINSON,farm servant
rec-5-org,Williamina,STEPHENS,F,1731-01-09,George,STEPHENS,joiner,Maggie,STANSWOOD,sewing machinist
rec-6-org,George,PAGE,M,1716-10-15,William,PAGE,wheelwright,Margaret,HUGHES,coal miner
rec-7-org,Donald,HALL,M,1716-12-02,Thomas,HALL,plumber,Elizabeth,CROSS,printer
rec-8-org,Erskine,HILL,M,1716-01-03,James,HILL,waterman,Jane,BEDFORD,typist
rec-9-org,Elizabeth,HILL,F,1716-01-03,James,HILL,waterman,Jane,BEDFORD,typist
rec-10-org,Jane,AUGAR,F,1719-03-16,Joseph,AUGAR,paper merchant,Emily,MATTHEWS,servant
rec-11-org,John,BETTS,M,1719-12-28,Peter,BETTS,farm worker,Devina,SCALE,plater
rec-12-org,Thomas,HUCK,M,1714-09-12,Peter,HUCK,cook,Mary,WYNNE,baker
rec-13-org,Archibald,MCDONALD,M,1715-10-30,Robert,MCDONALD,chemical worker,Mary,PRIDMORE,farmer
rec-14-org,Mary,RICHARDSON,F,1720-12-03,Walter,RICHARDSON,hosiery worker,Jeanie,ROBERTSON,merchant
rec-15-org,David,SMITH,M,1719-11-15,John,SMITH,basket maker,Isabella,PARKER,railway clerk
rec-16-org,Duncan,GARDNER,M,1720-07-30,John,GARDNER,fisherman,Isabella,ANDERSON,labourer
rec-17-org,Thomas,WATSON,M,1720-05-23,Francis,WATSON,labourer,Isabella,NEALE,carpenter
rec-18-org,Margaret,BAKER,F,1713-07-03,John,BAKER,painter,Mary,STEWART,waterman
rec-19-org,Jane,WILLMOT,F,1719-12-31,Archibald,WILLMOT,blacksmith,Sarah,GODSALL,senior english master
rec-20-org,James,BOLTON,M,1718-10-31,William,BOLTON,coal miner,Margt,LADD,landowner
rec-21-org,Matthew,OWENS,M,1714-01-14,Donald,OWENS,quarryman,Elizabeth,ROBINSON,farm servant
rec-22-org,George,GOOCH,M,1716-05-11,George,GOOCH,tailor,Ann,HAMBLETON,electro plater
rec-23-org,Mary,DISS,F,1721-03-25,Gregor,DISS,plater,Florence,EIDE,joiner
rec-24-org,Jessie,HUGHES,F,1717-11-28,David,HUGHES,weaver,Christina,KNIGHT,merchants clerk
rec-25-org,Dora,GODWIN,F,1728-01-10,Neil,GODWIN,quarryman,Magdelen,PREECE,weaver
rec-26-org,Isabella,BERY,F,1722-12-04,Archd,BERY,shopkeeper,Annie,PARR,tailor and draper
rec-27-org,George,WILLIAMS,M,1719-03-16,Patrick,WILLIAMS,farm waggoner,Elizabeth,GOMALL,ag lab
rec-28-org,Grace,CAMERON,F,1719-12-25,John,CAMERON,gardener,Christenia,WIGGLESWORTH,gamekeeper
rec-29-org,John,COTHERALL,M,1726-07-26,Willia,COTHERALL,printer,Barbara,WARD,moulder (iron)
rec-30-org,John,WARHURST,M,1719-03-26,James,WARHURST,waterman,Jessie,STEPHENS,woolcomber
rec-31-org,Sarah,THORNE,F,1718-08-21,Willm,THORNE,mantua and dressmaker,Janet,DAKINS,engineer - tool maker
rec-32-org,Maggie,COLLETT,F,1718-11-30,John,COLLETT,coach builder,Mary,PARKES,farm lab
rec-33-org,W,PHILPOTS,M,1725-04-01,John,PHILPOTS,collier,Mary,MARTIN,joiner
rec-34-org,Robert,SINCLAIR,M,1723-06-24,Wm,SINCLAIR,farmer,Jane,SINGLETON,carpenter
rec-35-org,John,BROOMHEAD,M,1720-07-28,Robert,BROOMHEAD,stonemason,Ellen,YOUNG,carman
rec-36-org,Johanna,LATTON,F,1723-09-10,William,LATTON,school teacher,Sarah,HARPER,shoemaker
rec-37-org,Marion,SINNOCK,F,1722-06-06,James,SINNOCK,bargeman,Mary,JONES,clerk
rec-38-org,James,BAKER,M,1719-10-29,John,BAKER,painter,Mary,STEWART,waterman
rec-39-org,Thomas,ASPINALL,M,1718-02-12,William,ASPINALL,fisherman,Agnes,PRODGAR,gentlemans servant
rec-40-org,George,FRANKLAND,M,1730-02-27,Alexander,FRANKLAND,butcher,Isabella,BRAWN,labourer
rec-41-org,Janet,STICKLAND,F,1726-05-07,David,STICKLAND,gamekeeper,Mary,CURTIS,lace manufacturer
rec-42-org,Alexander,TODD,F,1722-11-25,John,TODD,farmer,Maryann,LEE,labourer
rec-43-org,George,MILLBURN,M,1725-05-15,Richard,MILLBURN,farmer,Jane,NOBLE,"able seaman, royal navy"
rec-44-org,Simon,GUNTER,M,1725-11-08,Henry,GUNTER,policeman,Rachel,LEVERTON,electro plater
rec-45-org,Catherine,BAKER,F,1722-07-20,David,BAKER,brakesman (railway),Isabella,CRABB,police
rec-46-org,John,COWE,M,1727-03-04,Andrew,COWE,farmer,Alexa,RIERDAM,dressmaker
rec-47-org,Archibald,ABEL,M,1734-02-01,Mouter,ABEL,blacksmith,Ann,CAMPBELL,worksmith
rec-48-org,Hellen,HUCK,F,1718-02-08,Peter,HUCK,cook,Mary,WYNNE,baker
rec-49-org,Thomas,HELLIWELL,M,1718-10-01,Robert,HELLIWELL,cordwainer,Mary,OSBORN,gardener
rec-50-org,Wm,PHILLIPS,M,1728-03-08,David,PHILLIPS,coal miner,Jane,C,fitter - london transport
rec-51-org,Janet,BAYLISS,F,1719-04-25,William,BAYLISS,tallow chandler,Mary,HALTCHEY,"official, insurance co"
rec-52-org,Margt,SWALLOW,F,1728-01-20,Matthew,SWALLOW,shop assistant drapery,Christina,DAWSON,shop manager
rec-53-org,Lachlan,WAITE,M,1722-09-10,George,WAITE,cotton weaver,Sophia,LARKING,silk printer
rec-54-org,James,DURWARD,M,1721-12-13,Donald,DURWARD,planter,Frances,BAND,tailor
rec-55-org,Susanna,SCHOLES,F,1717-09-02,James,SCHOLES,servant,Catherine,BELLION,gardener
rec-56-org,John,HANTBY,M,1721-09-06,William,HANTBY,furniture salesman,Catherine,ROBSON,chair polisher
rec-57-org,John,BARKER,M,1719-07-03,Robert,BARKER,mason,Mary,BURNS,parlourmaid
rec-58-org,David,PAGET,M,1720-04-19,John,PAGET,cutter and cutler,Margaret,MILLS,baker
rec-59-org,Mary,RIDLER,F,1723-05-26,Alexander,RIDLER,farm servant,Jessie,WELLS,labourer
rec-60-org,John,MCDONALD,M,1719-09-14,Robert,MCDONALD,chemical worker,Mary,PRIDMORE,farmer
rec-61-org,John,ENTWISTLE,M,1738-03-01,Fraser,ENTWISTLE,labourer,Ann,COOPER,farmer
rec-62-org,Michael,BELL,M,1726-11-27,William,BELL,saddler,Ann,JENKINS,clerk
rec-63-org,Agnes,COOK,F,1734-01-08,Peter,COOK,railway goods guard,Marion,SNOW,servant
rec-64-org,Peter,MCKINNON,M,1737-09-14,Patr,MCKINNON,farmer,Annie,DOWNHAMS,stationer
rec-65-org,Willia,WINSTANLEY,M,1726-03-09,Thomas,WINSTANLEY,dressmaker,Jessie,HUTCHINSON,straw hat maker
rec-66-org,Mary,SARGE,F,1733-07-09,Noah,SARGE,husbandman,Isabella,CAUSTIN,shoemaker
rec-67-org,Margaret,REAKES,F,1743-12-03,Peter,REAKES,tailor,Isabella,WALLS,master gardener
rec-68-org,Robert,GOOCH,M,1722-01-19,George,GOOCH,tailor,Ann,HAMBLETON,electro plater
rec-69-org,Nicol,COURCHA,M,1720-04-16,John,COURCHA,coal miner,Margaret,ORMOND,nurseryman
rec-70-org,Jane,GRAY,F,1725-07-08,James,GRAY,cordwainer,Elizabeth,WOOD,molecatcher
rec-71-org,John,HALCRO,M,1722-09-04,Edward,HALCRO,broker,Marion,CURD,joiner
rec-72-org,Thomas,BALDWIN,M,1723-03-01,Thomas,BALDWIN,farmer (smallholder),Fanny,DAVIS,dyer and scourer
rec-73-org,Andrew,PRICE,M,1729-09-24,Samuel,PRICE,dairyman,Elizabeth,COE,servant
rec-74-org,Hector,LITTLEJOHN,M,1724-03-23,Alexander,LITTLEJOHN,nurse,Catherine,HUXFORD,farmer
rec-75-org,David,HUMPHRIES,M,1724-12-12,Daniel,HUMPHRIES,farmer,Margaret,BENTLEY,warehouseman
rec-76-org,James,QUINSAN,M,1726-03-26,John,QUINSAN,royal navy,Maggie,JENKINS,farmer
rec-77-org,Daniel,LEACH,M,1729-12-16,Will,LEACH,veterinary surgeon,Margaret,KING,lab
rec-78-org,Mary,PAGE,F,1722-04-04,William,PAGE,wheelwright,Margaret,HUGHES,coal miner
rec-79-org,Margaret,BARNES,F,1732-03-02,Jas,BARNES,servant,Helen,P,fisherman
rec-80-org,Annie,MABBOTT,F,1725-08-15,Robt,MABBOTT,teacher,Jane,STIVEY,engineer
rec-81-org,David,HALL,M,1723-11-27,Thomas,HALL,plumber,Elizabeth,CROSS,printer
