rec-id,FirstName,LastName,MotherFirstName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,Gender,MotherOccupation
rec-0-org,Mal,FEILDING,Isabella,FEILDING,1713-09-17,Henry,actor manager,KIMBER,M,egg packer
rec-1-org,Mary,FEILDING,Isabella,FEILDING,1713-09-17,Henry,actor manager,KIMBER,F,egg packer
rec-10-dup-0,Andrw,CROOK,Margaret,CROOK,1713-11-20,John,general manager- electric supply company,VAUGHAN,M,labourer
rec-100-org,Marion,STOAN,Agnes,STOAN,1728-05-19,James,labourer,EMPS,F,boot and shoe maker
rec-1000-org,Walter,CHAPMAN,Jane,CHAPMAN,1743-08-08,Adam,tin stripper,DYER,M,domestic servant
rec-1001-org,Catherine,HOW,Flora,HOW,1755-10-11,John,carpenter,FABER,F,mariner
rec-1002-org,Alexander,IGHT,Isabella,IGHT,1741-04-12,William,mechanic,GATE,M,coal miner
rec-1003-org,Ella,KINGTON,Ann,KINGTON,1744-04-24,Robert,gardener,BAILEY,F,bandsawyer
rec-1004-dup-0,Chrkstina,THOMAS,Julia,THOMAS,1743-02-21,Charles,spoon and fork dresser,MEDHURST,F,farmer
rec-1005-org,David,WHITE,Elizabeth,WHITE,1742-09-15,John,wholesale provision merchant,BEVIN,M,calenderer
rec-1006-org,Agnes,YOUNG,Isabella,YOUNG,1744-02-27,Charles,ag lab,ROBERTS,F,farmer
rec-1007-org,Eliza,BLAKE,Agnes,BLAKE,1744-09-03,Charles,stone mason,POTTER,F,labourer
rec-1008-dup-0,Mary,NELSN,Elizabeth,NELSON,1749-08-08,Thomas,warehouseman (woollen mill),WEST,F,collier
rec-1009-dup-0,Elspet,HEGGAvON,Magdalene,HEGGADON,1742-04-29,John,packer,MYERS,F,carpenter
rec-101-dup-0,An,HARRISON,Mary,HARRISON,1731-07-04,William,labourer,LEE,F,lacemaker
rec-1010-dup-0,Jamse,BYE,Helen,BYE,1746-06-08,John,gardener,JEPSON,M,railway signalman
rec-1011-org,Christina,DARBY,Margaret,DARBY,1742-03-10,Robert,nursery maid,KYNASTON,F,master joiner
rec-1012-org,Hannah,ADCOCK,Margaret,ADCOCK,1748-09-28,John,school enquiry officer,FAIRS,F,lab
rec-1013-org,Christina,CARTER,Jane,CARTER,1745-06-20,James,stone cutter,DRYDEN,F,shoemaker
rec-1014-org,Louisa,CORDERY,Elizabeth,CORDERY,1745-07-01,Francis,electrical engineer,TROREY,F,carter
rec-1015-org,Elizabeth,OWEN,Jemima,OWEN,1743-08-22,Alexander,accountant,HARLING,F,army lieutenant
rec-1016-dup-0,Johen,GRIBBELL,Jessie,GRIBBELL,1743-01-11,Robert,tea packer,VERNON,M,bank clerk
rec-1017-dup-0,Liliaa,WILLS,Isabella,WILLS,1742-11-29,William,farmer,DOYLE,F,servant
rec-1018-org,Ann,GIBSON,Margaret,GIBSON,1754-03-26,Alex,farm labourer,LEE,F,ag lab
rec-1019-dup-0,Matthee,ARKLETT,Janet,ARKLETT,1743-07-05,Robert,thatcher,WIBSON,M,land surveyor
rec-102-dup-0,Mary,CO,Ann,COX,1728-05-18,David,ironstone miner,WAGSTAFF,F,factory worker
rec-1020-org,James,READ,Maggie,READ,1746-11-29,John,ropemaker,HODGETT,M,hotel proprietess
rec-1021-org,James,MITCHEAL,Helen,MITCHEAL,1743-09-03,Robert,market gardener,FISH,M,shoe maker
rec-1022-dup-0,Izabella,WOODHOUSE,Elizabeth,WOODHOUSE,1748-05-10,Charles,labourer,PAWSEY,F,motor mechanic
rec-1023-org,Donald,EDWARDS,Helen,EDWARDS,1745-02-26,Robert,fireman,MEYRICK,M,joiner
rec-1024-org,John,KNIGHT,Jane,KNIGHT,1744-06-26,Roderick,shopkeeper,LAYZELL,M,laundryman
rec-1025-org,Jane,ALLEN,Mary,ALLEN,1742-10-29,George,clerk,GRIFFITH,F,cotton ring spinner
rec-1026-dup-0,Janet,SLANDERS,Catherine,SCLANDERS,1743-03-11,Andw,proprietor of house and land,WOODHALF,F,farmer
rec-1027-org,William,GRANT,Elizabeth,GRANT,1744-05-30,David,cordwainer,GARDINER,M,publican
rec-1028-org,James,TIBLAKE,Bella,TIBLAKE,1747-02-04,Charles,tailor,HOLDSWORTH,M,carpenter
rec-1029-dup-0,Elizapeth,GRANT,Minnie,GRANT,1743-01-20,James,chauffeur,WALTON MONTEITH,F,labourer
rec-103-org,Charles,WELCH,Mary,WELCH,1727-06-10,Stewart,overlooker in a factory,YATES,M,school mistress- dame school
rec-1030-org,Jessie,GRANT,Minnie,GRANT,1743-01-20,James,chauffeur,WALTON MONTEITH,F,labourer
rec-1031-org,Alexander,HODSKIP,Annie,HODSKIP,1743-05-19,John,farmer,TAYLOR,M,grocers assistant
rec-1032-org,Harry,JACQUETT,Hannah,JACQUETT,1740-12-13,Archibald,cotton spinner,FOSTER,M,carter
rec-1033-org,John,TAYLOR,Ann,TAYLOR,1748-02-16,John,hand loom weaver,BONALL,M,porter
rec-1034-dup-0,Elizbeth,TILLMAN,Christina,TILLMAN,1748-09-29,Bernard,mariner,MORWOOD,F,lacemaker
rec-1035-org,Ellen,HABGOOD,Jane,HABGOOD,1751-09-14,William,jp,WALKER,F,labourer
rec-1036-org,Samuel,ANDERSON,Lizzie,ANDERSON,1742-05-07,James,bookbinder,BOOTH,M,nailor
rec-1037-org,Christina,STEWART,Ann,STEWART,1746-04-12,George,labourer,MCDOWELL,F,coal miner
rec-1038-dup-0,Mary,HUNoER,Jessie,HUNTER,1743-05-06,George,cutlery warehouse,MUTTON,F,shipwright
rec-1039-dup-0,William,ELLIOTn,Isabella,ELLIOT,1756-09-19,James,butcher,JONES,M,leather merchant
rec-104-dup-0,Alexanuder,WELCH,Mary,WELCH,1727-06-10,Stewart,overlooker in a factory,YATES,M,school mistress- dame school
rec-1040-org,Alexander,WILSON,Maggie,WILSON,1745-05-13,Walter,clerk,SHAW,M,builder
rec-1041-dup-0,Jaems,FINNEY,Janet,FINNEY,1749-07-28,Gavin,law stationer,NOWELL,M,farmer
rec-1042-dup-0,Maty,CAMPBELL,Margaret,CAMPBELL,1744-09-21,William,shipwright,EWING,F,coal meter
rec-1043-org,James,PARKER,Maggie,PARKER,1749-03-06,Peter,labourer,SIMMONS,M,cabinet maker
rec-1044-org,Susan,MILLER,Margaret,MILLER,1745-11-01,Robert,carder,HELSON,F,carman
rec-1045-org,Isabella,JOHNSTON,Annie,JOHNSTON,1742-10-13,James,school master,NOTTINGHAM,F,lab
rec-1046-org,Maggie,KEENAN,Isabella,KEENAN,1743-03-01,Basiel,thatcher,PEARCE,F,miner
rec-1047-org,John,FOX,Mary,FOX,1744-02-28,Alexander,quarryman,SCOTT,M,collector
rec-1048-dup-0,Huvh,ISAACS,Elizabeth,ISAACS,1743-02-05,Ronald,forkmaker,SHAW,M,dairyman
rec-1049-org,Mary,WEIR,Hellen,WEIR,1741-08-22,John,labourer,GARSIDE,F,labourer
rec-105-org,Jessie,WELCH,Mary,WELCH,1727-06-10,Stewart,overlooker in a factory,YATES,F,school mistress- dame school
rec-1050-org,Wm,ROSSBOTTOM,Charlotte,ROSSBOTTOM,1747-02-14,James,ag lab,OLIVER,M,farm lab
rec-1051-org,Agnes,JACKMAN,Jane,JACKMAN,1748-02-10,William,mariner,JONES,F,carter
rec-1052-org,Margaret,FERGUSON,Mary,FERGUSON,1747-03-09,Cornelius,puddler,WOODHOUSE,F,labourer
rec-1053-org,James,JOREY,Cathrine,JOREY,1744-05-03,William,servant,MAKSPEACE,M,gamekeeper
rec-1054-org,Andrew,NUTTALL,Ellen,NUTTALL,1751-09-06,Joseph,factory hand,DEACON,M,innkeeper
rec-1055-org,Jessie,FOLD,Mary,FOLD,1745-10-06,Thomas,blacksmith,RHODES,F,tailor
rec-1056-org,Isabella,STEWART,Catherine,STEWART,1750-06-01,James,bookfolder,WILLIAMS,F,farmer
rec-1057-org,Elizabeth,STEWART,Catherine,STEWART,1750-06-01,James,bookfolder,WILLIAMS,F,farmer
rec-1058-dup-0,Jame,HILLMAN,Janet,HILLMAN,1744-05-17,Richard,wireman,MARSDEN,F,mariner/sailor/seaman
rec-1059-org,Elizabeth,BISH,Betsy,BISH,1745-08-20,James,seaman- royal navy,EVERET,F,servant
rec-106-org,Walter,BROWN,Jane,BROWN,1725-03-08,William,teacher,SWINDLES,M,mechanic
rec-1060-dup-0,Johb,HOUSEMAN,Emma,HOUSEMAN,1743-06-13,Wm,parish clerk,DOWLING,M,baptist minister
rec-1061-dup-0,David,CAMBPELL,Jemima,CAMPBELL,1747-01-20,Donald,labourer,SMITH,M,fisherman
rec-1062-org,Eliza,CRIMP,Agnes,CRIMP,1744-07-04,William,wheelwright,GARLAND,F,gardener
rec-1063-org,Thomas,DOWNS,Maggie,DOWNS,1750-01-07,Alexander,cordwainer & shoemaker,WATSON,M,labourer
rec-1064-org,Betsy,CHAMBERLAIN,Helen,CHAMBERLAIN,1743-10-04,David,domestic servant,CATTANES,F,brass finisher
rec-1065-dup-0,Jessieb,DAVIES,Janet,DAVIES,1745-08-25,William,lab,LODDER,F,master shoemaker
rec-1066-org,Janet,RADLEY,Margaret,RADLEY,1742-12-28,Peter,master druggist chemist,KNIGHT,F,plumber
rec-1067-org,Robert,PERRY,Jessie,PERRY,1745-12-29,William,tailor,WAKEFIELD,M,brass moulder
rec-1068-org,William,BANT,Christina,BANT,1744-05-30,William,labourer,CAPE,M,farmer
rec-1069-org,David,LITTLEJOHN,Helen,LITTLEJOHN,1747-04-19,Hector,yachtsman,DOWNES,M,fruiterer
rec-107-org,Marion,LIFFEN,Isabella,LIFFEN,1728-01-31,James,florist,GORDON,F,clockmaker
rec-1070-org,Alexander,WRIGHT,Jessie,WRIGHT,1742-07-24,Abraham,brewers labourer,EMMS,M,police constable
rec-1071-org,Thomas,HILL,Adeiliade,HILL,1753-06-19,William,lab,MORDLE,M,farmer
rec-1072-dup-0,Mary,NORgON,Mary,NORTON,1744-04-25,Robert,railway guard,GRIEVES,F,shoemaker
rec-1073-dup-0,Willyam,BARTLETT,Jessie,BARTLETT,1745-03-15,Peter,ag lab,CAPE,M,pawnbroker
rec-1074-org,John,SQUIRE,Isabella,SQUIRE,1746-12-02,James,baker,WILLIAMS,M,mariner
rec-1075-org,David,WHEAT,Elizabeth,WHEAT,1753-06-28,John,cow keeper,SHAW,M,lab
rec-1076-org,Richard,HUSSEY,Elizabeth,HUSSEY,1748-08-18,William,ladys maid,WRIGHT,M,carpenter
rec-1077-org,Janet,WATHERS,Ann,WATHERS,1748-03-21,William,deck officer in mercantile marine,DOWNIE,F,baker
rec-1078-dup-0,Roberr,PIPER,Sarah,PIPER,1744-04-27,James,cook & confectioner,BOYS,M,clay labourer
rec-1079-dup-0,Finlay,HEMISIFELD,Helena,HEMISFIELD,1746-03-03,George,labourer,JEMMESON,M,silversmith
rec-108-org,Margaret,MCKIRDY,Mary,MCKIRDY,1726-12-22,James,publican,PUNCHER,F,power loom cotton weaver
rec-1080-org,John,KAY,Agnes,KAY,1743-02-03,James,gardener,STOGDEN,M,school teacher
rec-1081-org,Robert,CHINN,Mary,CHINN,1746-09-16,Peter,ag lab,STANTON,M,labourer
rec-1082-dup-0,Alexander,PHILLIPy,Margaret,PHILLIPS,1747-05-14,Alexander,miner,MORGAN,M,police constable
rec-1083-org,James,CORTNEY,Bethea,CORTNEY,1743-11-23,Andrew,merchant,BURNET,M,lab
rec-1084-org,Barbara,WOODWARD,Elizabeth,WOODWARD,1748-02-24,Thomas,shorthand typist,CHIDLEY,F,jobbing labourer
rec-1085-org,Margaret,BEATTIE,Jessie,BEATTIE,1745-07-03,John,sewing machine factory worker,GILMOUR,F,master shoemaker
rec-1086-org,Willia,GILBERT,Annie,GILBERT,1742-11-07,Willia,pencil maker,AINSWORTH,M,wheelwright
rec-1087-org,George,NEWCOMBE,Alexandrina,NEWCOMBE,1742-05-24,William,corn miller,RENTON,M,farmer
rec-1088-org,Thomas,BEAUMONT,Jeannie,BEAUMONT,1746-05-21,James,farmer,TYLOR,M,stationary engineman
rec-1089-dup-0,Willniam,ELLIOTT,Jane,ELLIOTT,1743-01-28,John,cooper,ROBERTS,M,farmer
rec-109-dup-0,David,TOWNEND,Maggie,TOWNSEND,1727-12-03,John,brush maker,SHAKESPEAR,M,artificial limb maker
rec-1090-org,William,SHEPPARD,Catherine,SHEPPARD,1745-09-05,William,shop assistant,GREENFIELD,M,lab
rec-1091-org,Joseph,GOSLING,Agnes,GOSLING,1744-11-01,Robert,saleswoman in a womens fashion company,PARRY,M,tailor
rec-1092-dup-0,Mahew,ROAEK,Janet,ROAKE,1743-12-30,John,laundress,MATTHEW,M,farmer
rec-1093-dup-0,Ang7s,GLASBROOK,Elizabeth,GLASBROOK,1744-11-24,Robert,looking glass silverer,OGILVIE,M,stonecutter
rec-1094-org,James,TODD,Annie,TODD,1743-04-13,William,domestic servant,CLEELOW,M,tallow chandler
rec-1095-org,Margaret,THORNILL,Ann,THORNILL,1745-04-28,James,leather currier,HATTER,F,shipwright- preventive service
rec-1096-org,Victoria,MARSHALL,Maggie,MARSHALL,1745-08-31,Arthur,tenant farmer,SLEEMAN,F,railway foreman
rec-1097-org,Martha,HUSSELBEE,Grace,HUSSELBEE,1742-06-27,James,baker,LUDLOW,F,sales representative- gas light + coke company
rec-1098-org,Janet,BARNES,Annie,BARNES,1757-01-08,James,labourer,BROWNRIGG,F,butcher
rec-1099-org,Janet,TURNER,Ann,TURNER,1742-09-17,Andrew,cotton spinner,DRURY,F,publican
